device,local,real0,im0,real1,im1,real2,im2,real3,im3,real4,im4,real5,im5,real6,im6,real7,im7,real8,im8,real9,im9,real10,im10,real11,im11,real12,im12,real13,im13,real14,im14,real15,im15,real16,im16,real17,im17,real18,im18,real19,im19,real20,im20,real21,im21,real22,im22,real23,im23,real24,im24,real25,im25,real26,im26,real27,im27,real28,im28,real29,im29,real30,im30,real31,im31,real32,im32,real33,im33,real34,im34,real35,im35,real36,im36,real37,im37,real38,im38,real39,im39,real40,im40,real41,im41,real42,im42,real43,im43,real44,im44,real45,im45,real46,im46,real47,im47,real48,im48,real49,im49,real50,im50,real51,im51,real52,im52,real53,im53,real54,im54,real55,im55,real56,im56,real57,im57,real58,im58,real59,im59,real60,im60,real61,im61,real62,im62,real63,im63,real64,im64,real65,im65,real66,im66,real67,im67,real68,im68,real69,im69,real70,im70,real71,im71,real72,im72,real73,im73,real74,im74,real75,im75,real76,im76,real77,im77,real78,im78,real79,im79,real80,im80,real81,im81,real82,im82,real83,im83,real84,im84,real85,im85,real86,im86,real87,im87,real88,im88,real89,im89,real90,im90,real91,im91,real92,im92,real93,im93,real94,im94,real95,im95,real96,im96,real97,im97,real98,im98,real99,im99,real100,im100,real101,im101,real102,im102,real103,im103,real104,im104,real105,im105,real106,im106,real107,im107,real108,im108,real109,im109,real110,im110,real111,im111,real112,im112,real113,im113,real114,im114,real115,im115,real116,im116,real117,im117,real118,im118,real119,im119,real120,im120,real121,im121,real122,im122,real123,im123,real124,im124,real125,im125,real126,im126,real127,im127
TRAS,A1,102,-32,5,0,-24,10,-23,10,-22,10,-20,10,-18,10,-17,10,-15,11,-14,11,-13,12,-11,12,-10,12,-9,13,-8,14,-8,14,-8,14,-8,15,-9,15,-10,14,-11,13,-12,11,-12,9,-11,7,-11,6,-11,5,-11,4,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-12,8,-13,7,-15,6,-17,6,-19,5,-21,4,-23,2,-24,-1,-24,-3,-23,-4,-22,-4,-21,-3,-21,-3,-21,-2,-20,-1,-20,0,-21,1,-21,3,-22,4,-22,6,-23,7,-23,8,-23,9,-24,10,-24,11,-24,11,-16,4,-49,15,-47,15,-44,15,-42,15,-39,16,-36,17,-33,17,-31,18,-28,19,-26,20,-24,21,-21,23,-20,23,-19,24,-18,25,-18,26,-19,27,-21,27,-23,25,-25,22,-25,18,-24,14,-22,11,-21,9,-21,7,-20,4,-20,-5,-18,-9,-4,-2,-1,-2,0,-1,0,-1,0,-1,-1,1,-3,4,-14,23,-19,19,-25,16,-27,13,-30,11,-33,10,-37,8,-41,5,-44,1,-46,-4,-45,-8,-43,-10,-41,-10,-40,-9,-39,-8,-39,-6,-39,-5,-39,-3,-40,-1,-41,2,-41,5,-42,8,-44,10,-45,12,-46,14,-47,15,-48,16,-48,17,
TRAS,A1,126,97,23,0,-24,12,-22,12,-21,11,-20,11,-18,11,-17,11,-16,11,-14,12,-12,12,-11,13,-10,13,-9,13,-8,14,-8,14,-8,15,-9,15,-10,15,-11,14,-12,13,-13,11,-13,8,-12,7,-11,6,-11,4,-11,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,-11,10,-12,10,-13,9,-15,9,-18,9,-20,8,-23,6,-24,3,-24,1,-23,0,-23,0,-22,0,-22,0,-21,1,-21,2,-21,3,-21,4,-21,5,-22,7,-22,8,-23,9,-23,10,-23,11,-24,12,-25,13,-25,14,-16,4,-51,16,-48,16,-45,16,-43,16,-40,16,-37,16,-35,17,-32,18,-29,19,-27,20,-25,21,-22,22,-21,23,-20,24,-19,25,-20,26,-21,27,-22,26,-24,24,-26,21,-26,17,-25,13,-24,10,-23,8,-22,5,-22,3,-20,-6,-18,-10,-4,-3,-1,-2,0,-1,0,-1,0,-1,-1,1,-2,4,-13,24,-18,21,-22,18,-25,16,-28,15,-31,14,-35,12,-40,10,-44,5,-46,1,-46,-3,-44,-6,-43,-6,-41,-6,-41,-4,-40,-3,-40,-1,-40,1,-40,3,-41,5,-42,8,-43,10,-45,12,-46,14,-47,16,-48,18,-49,19,-50,20,
TRAS,A1,126,97,23,0,-7,26,-6,25,-5,24,-4,23,-3,22,-2,21,-1,20,0,19,1,18,3,17,4,16,5,16,5,16,6,16,6,16,6,17,6,17,4,18,2,17,0,16,-1,15,-2,13,-3,12,-4,11,-4,10,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,-1,15,-2,16,-3,18,-5,19,-8,21,-11,21,-14,21,-15,19,-16,18,-16,17,-15,16,-15,17,-14,17,-13,17,-12,18,-11,19,-10,20,-9,21,-8,23,-8,24,-7,25,-7,26,-7,27,-7,28,-6,28,-6,16,-16,52,-15,50,-14,48,-13,46,-11,43,-8,42,-6,40,-4,38,-1,36,1,34,3,33,5,32,7,31,9,31,10,31,11,32,10,33,9,34,6,34,3,34,-1,32,-3,28,-5,25,-7,23,-8,21,-10,18,-16,14,-19,10,-4,1,-2,0,0,-1,-1,-1,-1,-1,1,1,2,4,13,25,7,27,1,29,-3,30,-6,31,-9,33,-13,36,-18,38,-24,39,-29,38,-32,35,-33,33,-33,31,-31,30,-29,30,-28,30,-27,32,-25,33,-23,35,-22,38,-20,40,-19,43,-18,45,-17,47,-16,49,-16,51,-15,53,-14,53,
TRAS,A1,126,97,23,0,-24,-10,-23,-10,-22,-9,-21,-8,-20,-7,-20,-6,-19,-5,-18,-3,-18,-2,-17,0,-17,1,-16,2,-16,2,-17,3,-17,3,-17,3,-18,3,-18,1,-18,-1,-17,-3,-15,-4,-13,-4,-12,-5,-10,-5,-10,-6,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-1,-15,-2,-15,-4,-16,-5,-17,-7,-18,-9,-18,-12,-18,-15,-17,-17,-16,-18,-14,-19,-13,-18,-13,-17,-13,-16,-14,-16,-14,-15,-15,-14,-16,-14,-17,-13,-19,-12,-20,-12,-21,-12,-23,-12,-24,-11,-24,-11,-25,-11,-25,-11,-15,-7,-48,-22,-46,-21,-44,-19,-42,-18,-40,-16,-39,-14,-37,-11,-36,-9,-35,-6,-34,-4,-33,-1,-32,1,-31,2,-31,4,-32,5,-32,6,-33,5,-34,4,-35,1,-34,-2,-31,-6,-28,-8,-25,-9,-22,-10,-20,-11,-17,-13,-12,-17,-8,-19,-2,-4,0,-2,0,0,0,-1,0,0,-2,1,-5,2,-27,11,-28,5,-29,-3,-29,-7,-30,-10,-32,-13,-34,-17,-35,-22,-35,-27,-33,-32,-30,-35,-28,-36,-26,-35,-25,-33,-25,-31,-26,-30,-27,-29,-29,-27,-31,-26,-33,-25,-35,-23,-38,-23,-40,-22,-43,-22,-45,-22,-47,-21,-48,-21,-49,-20,
TRAS,A1,126,97,23,0,15,-21,14,-21,13,-20,11,-20,10,-19,8,-18,7,-18,5,-18,4,-17,2,-17,1,-17,0,-17,-1,-17,-1,-17,-1,-18,-1,-18,-1,-19,1,-19,3,-18,4,-17,5,-15,5,-13,6,-11,6,-10,7,-9,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,8,-16,9,-15,11,-15,12,-16,15,-16,18,-16,21,-14,23,-12,23,-10,23,-9,22,-8,21,-8,20,-8,19,-9,19,-10,18,-11,18,-12,17,-14,17,-15,16,-17,16,-18,16,-19,16,-20,16,-21,16,-22,16,-23,10,-13,34,-40,32,-38,29,-37,27,-36,24,-35,21,-35,18,-34,15,-33,12,-33,10,-32,7,-32,5,-32,3,-32,2,-33,0,-33,0,-34,0,-35,2,-35,5,-35,9,-33,11,-30,12,-27,12,-23,13,-21,14,-18,15,-15,19,-7,21,-2,3,0,1,0,-1,0,0,0,-1,0,-1,-2,-1,-7,-1,-33,7,-32,15,-31,19,-29,23,-28,26,-28,32,-28,37,-27,42,-24,46,-20,46,-16,45,-13,43,-12,41,-12,39,-13,38,-14,37,-16,36,-18,35,-21,35,-24,34,-27,33,-30,33,-32,33,-35,33,-37,33,-39,33,-40,33,-41,
TRAS,A1,126,97,23,0,3,22,4,22,4,21,5,19,6,18,6,17,7,16,8,15,8,14,9,13,10,12,11,11,12,11,12,11,13,11,13,11,13,12,12,13,10,14,8,15,6,14,4,13,2,12,1,12,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,15,0,15,-2,15,-3,17,-4,18,-6,19,-9,20,-11,19,-12,18,-13,17,-12,15,-12,15,-11,15,-9,15,-8,16,-7,16,-5,17,-4,18,-3,19,-2,19,-1,20,0,21,1,22,1,22,2,23,2,23,1,13,5,45,6,44,7,42,8,40,9,38,11,35,12,33,13,31,15,29,16,27,17,26,19,24,20,23,22,22,23,21,24,22,24,23,24,25,22,27,19,29,14,29,10,28,7,26,4,24,1,23,-2,22,-10,19,-15,16,-3,2,-2,0,-1,-1,-1,-1,-1,-1,1,0,3,4,18,23,12,25,4,29,1,30,-2,31,-5,33,-8,35,-12,37,-17,38,-20,37,-23,35,-24,32,-24,30,-22,29,-20,29,-18,29,-16,30,-13,31,-11,33,-8,34,-6,36,-4,37,-2,39,0,41,1,43,2,44,4,45,5,45,
TRAS,A1,126,97,23,0,-23,-6,-22,-5,-21,-5,-20,-4,-19,-3,-18,-1,-18,0,-17,1,-16,2,-16,3,-15,4,-14,5,-14,6,-15,6,-15,7,-15,7,-16,7,-17,5,-17,4,-16,2,-15,0,-13,-1,-12,-2,-11,-3,-11,-4,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-2,-17,-5,-16,-6,-16,-8,-17,-9,-18,-11,-18,-14,-18,-16,-16,-18,-15,-19,-13,-19,-12,-18,-12,-17,-13,-16,-13,-15,-14,-14,-14,-13,-15,-13,-17,-12,-18,-10,-19,-9,-20,-9,-21,-8,-22,-8,-23,-8,-24,-8,-24,-7,-15,-5,-46,-13,-44,-12,-42,-10,-41,-9,-39,-7,-37,-5,-36,-3,-34,0,-33,2,-31,4,-30,6,-29,8,-28,9,-28,11,-28,13,-28,13,-29,13,-31,12,-32,10,-32,7,-31,3,-28,0,-25,-3,-23,-5,-21,-7,-19,-9,-15,-14,-11,-17,-2,-4,-1,-2,0,0,0,-1,0,0,-2,1,-6,2,-31,10,-32,4,-32,-7,-32,-11,-32,-14,-33,-17,-34,-21,-35,-26,-34,-30,-32,-34,-28,-36,-26,-36,-24,-35,-23,-33,-24,-30,-25,-28,-26,-26,-28,-25,-30,-23,-32,-22,-34,-20,-37,-18,-39,-17,-41,-16,-43,-15,-44,-14,-46,-13,-47,-12,
TRAS,A1,126,97,23,0,5,-24,4,-23,3,-23,2,-22,1,-21,0,-20,-1,-19,-3,-18,-4,-17,-5,-16,-6,-15,-7,-15,-7,-15,-8,-15,-8,-15,-9,-16,-8,-16,-6,-17,-4,-17,-2,-16,-1,-15,0,-13,1,-12,2,-11,3,-11,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-19,3,-19,5,-19,6,-20,8,-21,11,-22,14,-22,17,-20,18,-19,18,-17,17,-16,16,-16,15,-16,14,-17,13,-17,12,-18,11,-19,10,-20,9,-21,8,-22,8,-23,7,-24,6,-25,6,-26,5,-26,5,-27,5,-15,16,-47,14,-45,12,-44,10,-42,8,-40,6,-39,3,-37,1,-35,-1,-33,-4,-32,-6,-31,-8,-30,-9,-29,-11,-29,-12,-29,-13,-30,-13,-31,-12,-32,-8,-33,-5,-33,-2,-31,1,-28,2,-25,4,-23,5,-21,8,-19,15,-13,18,-9,3,-2,1,-1,-1,0,0,0,-1,0,-2,-2,-2,-7,-9,-36,-2,-36,4,-36,9,-36,13,-36,17,-36,21,-38,27,-39,32,-38,36,-35,38,-31,38,-28,37,-26,35,-26,32,-26,30,-27,29,-29,27,-30,25,-32,23,-35,22,-37,20,-39,19,-41,18,-44,17,-45,16,-47,15,-48,14,-49,
TRAS,A1,126,97,23,0,-18,-18,-18,-18,-17,-17,-17,-15,-16,-14,-16,-12,-16,-11,-16,-9,-16,-8,-16,-6,-16,-5,-17,-4,-17,-3,-18,-3,-18,-2,-19,-3,-19,-3,-19,-5,-19,-7,-17,-9,-14,-10,-12,-10,-11,-9,-9,-10,-9,-11,-2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-12,-12,-12,-13,-11,-14,-11,-16,-10,-18,-9,-21,-7,-23,-5,-24,-3,-24,-2,-23,-2,-22,-2,-22,-3,-21,-4,-20,-5,-20,-6,-20,-8,-20,-9,-19,-10,-19,-12,-19,-13,-19,-15,-20,-16,-20,-17,-20,-17,-20,-18,-20,-10,-13,-32,-39,-32,-37,-31,-35,-31,-33,-30,-30,-30,-28,-30,-25,-30,-22,-30,-19,-30,-16,-30,-13,-31,-11,-31,-9,-32,-8,-33,-6,-35,-6,-36,-7,-37,-8,-36,-11,-34,-15,-30,-18,-26,-19,-22,-19,-20,-20,-17,-20,-13,-21,-3,-24,3,-24,1,-5,0,-2,0,0,0,-1,0,0,-2,0,-6,-2,-30,-10,-27,-16,-24,-23,-21,-26,-20,-29,-19,-32,-17,-36,-15,-41,-12,-45,-7,-46,-4,-46,-1,-44,-1,-43,-1,-41,-3,-40,-5,-39,-7,-38,-9,-38,-12,-38,-15,-37,-18,-37,-21,-37,-23,-38,-26,-39,-28,-39,-30,-39,-32,-39,-33,-39,
TRAS,A1,100,-64,5,0,-5,-25,-5,-24,-5,-23,-6,-22,-6,-21,-7,-19,-7,-18,-8,-16,-9,-15,-9,-14,-9,-13,-10,-12,-11,-12,-11,-11,-12,-11,-12,-12,-12,-12,-11,-13,-9,-14,-7,-14,-5,-13,-4,-12,-4,-11,-3,-10,-1,-11,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-6,-17,-5,-17,-4,-18,-2,-20,-1,-21,2,-23,4,-24,7,-24,8,-23,8,-21,8,-20,7,-20,6,-20,5,-19,4,-20,3,-20,2,-20,1,-21,-1,-22,-2,-23,-3,-23,-4,-24,-5,-25,-5,-26,-6,-26,-6,-27,-3,-16,-8,-51,-7,-49,-8,-46,-8,-44,-9,-42,-10,-40,-11,-37,-12,-34,-13,-31,-15,-28,-16,-26,-18,-25,-19,-24,-20,-23,-21,-22,-22,-22,-22,-23,-22,-24,-19,-25,-16,-26,-13,-26,-10,-25,-7,-23,-6,-21,-4,-20,-1,-20,6,-18,10,-17,2,-3,0,-1,-1,0,0,0,0,0,-3,-1,-5,-4,-25,-23,-19,-27,-11,-32,-7,-34,-4,-36,-2,-38,1,-41,5,-44,10,-45,15,-44,18,-42,19,-39,18,-37,17,-37,15,-36,13,-36,10,-36,8,-37,5,-38,3,-40,1,-42,-1,-44,-3,-45,-5,-47,-7,-48,-8,-50,-9,-51,-10,-51,
